# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 1. Europäischen Parlament aus der Bundesrepublik Deutschland (10. Juni 1979)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültig;Gültig;SPD;CDU;CSU;FDP;DKP;EAP;C.B.V.;Zentrum;DIE GRÜNEN
08 4 26;Biberach;104025;65876;582;65294;11704;47837;0;2908;127;75;102;84;2457
08 4 35;Bodenseekreis;112827;67316;466;66850;17566;40011;0;5286;126;76;138;94;3553
08 4 36;Ravensburg;153982;96064;856;95208;19579;65561;0;5376;179;141;228;151;3993
08 4 37;Sigmaringen;75370;44815;432;44383;8775;31431;0;2146;111;50;95;94;1681
908;Baden-Württemberg;6271715;3715222;32820;3682402;1263040;1925541;0;299903;12828;4280;5782;3575;167453

09 1 61;Ingolstadt, Stadt;64339;33950;243;33707;11052;0;20303;1412;83;31;95;15;716
09 1 62;München, Landeshauptstadt;810323;446198;2289;443909;166101;0;219138;36530;2049;544;1309;307;17931
09 1 63;Rosenheim, Stadt;35912;20820;186;20634;6321;0;12466;938;68;33;77;19;712
09 1 71;Altötting;68224;44057;329;43728;9561;0;31486;1278;53;42;127;32;1149
09 1 72;Berchtesgadener Land;65538;40931;309;40622;8963;0;28648;1676;81;29;148;24;1053
09 1 73;Bad Tölz-Wolfratshausen;68683;41464;264;41200;9156;0;28275;2276;51;56;156;11;1219
09 1 74;Dachau;68998;40625;273;40352;10600;0;26955;1735;67;66;128;25;776
09 1 75;Ebersberg;63668;38654;261;38393;10072;0;23939;2737;64;56;138;19;1368
09 1 76;Eichstätt;64510;41932;404;41528;9351;0;30225;997;123;27;138;24;643
09 1 77;Erding;60474;35298;241;35057;7866;0;24640;1367;44;27;139;10;964
09 1 78;Freising;74411;42697;325;42372;9988;0;28330;1775;77;47;102;22;2031
09 1 79;Fürstenfeldbruck;114250;65848;339;65509;20340;0;37219;5187;117;73;148;41;2384
09 1 80;Garmisch-Partenkirchen;57373;34563;275;34288;6104;0;25500;1704;44;21;111;27;777
09 1 81;Landsberg a. Lech;54712;30413;217;30196;6522;0;21106;1504;40;35;122;22;845
09 1 82;Miesbach;58192;35777;242;35535;9096;0;23401;1854;139;39;102;14;890
09 1 83;Mühldorf a. Inn;65427;40742;298;40444;8259;0;29902;1150;52;36;181;14;850
09 1 84;München;158094;96467;506;95961;28717;0;53061;9591;184;111;255;80;3962
09 1 85;Neuburg-Schrobenhausen;53472;30013;255;29758;6198;0;21950;882;60;24;92;14;538
09 1 86;Pfaffenhofen a.d. Ilm;58938;34257;265;33992;7709;0;24491;998;32;31;75;21;635
09 1 87;Rosenheim;124697;75615;519;75096;16613;0;52646;3074;138;76;345;69;2135
09 1 88;Starnberg;74369;47129;256;46873;11280;0;28080;5019;85;44;138;20;2207
09 1 89;Traunstein;103153;64073;490;63583;13871;0;44861;2704;115;80;225;38;1689
09 1 90;Weilheim-Schongau;74478;44038;348;43690;12713;0;28058;1596;135;41;215;26;906
09 2 61;Landshut, Stadt;41414;24990;203;24787;6646;0;15881;1041;55;36;67;21;1040
09 2 62;Passau, Stadt;35803;19829;169;19660;4823;0;13504;578;29;16;47;13;650
09 2 63;Straubing, Stadt;31421;16677;112;16565;4295;0;11154;502;49;8;50;10;497
09 2 71;Deggendorf;72375;37935;341;37594;7051;0;28403;760;49;31;113;17;1170
09 2 72;Freyung-Grafenau;54067;24161;170;23991;5056;0;17951;370;33;20;71;15;475
09 2 73;Kelheim;63776;37765;347;37418;9549;0;26018;926;63;48;120;20;674
09 2 74;Landshut;77555;47474;431;47043;8735;0;35212;1442;109;76;167;23;1279
09 2 75;Passau;111928;59654;589;59065;12699;0;43049;1222;77;62;209;29;1718
09 2 76;Regen;56480;25053;257;24796;6027;0;17526;434;59;21;178;29;522
