# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 2. Europäischen Parlament aus der Bundesrepublik Deutschland (17. Juni 1984)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;FDP;GRÜNE;EAP;Zentrum;BP;FRIEDEN;EFP;FRAUEN;NPD;ÖDP;Mündige Bürger
05 9 62;Märkischer Kreis;315797;177349;1982;175367;71191;77493;0;7558;12390;182;762;0;2248;251;583;1853;437;419
05 9 66;Olpe;92290;61569;669;60900;15608;39369;0;1494;2906;35;417;0;476;54;162;212;83;84
05 9 70;Siegen-Wittgenstein;212612;124120;1339;122781;52128;50237;0;6370;9653;114;521;0;1776;155;332;984;259;252
05 9 74;Soest;195849;125818;1457;124361;43383;62666;0;5177;9318;100;893;0;1089;139;444;741;193;218
05 9 78;Unna;292624;185501;2262;183239;95394;63497;0;5470;13291;170;537;0;2336;273;514;1285;203;269
905;Nordrhein-Westfalen;12657700;7514108;84089;7430019;3099569;3182755;0;312455;597177;6874;33750;0;95405;8562;21257;46164;13655;12396

06 4 11;Darmstadt, Stadt;98605;58482;856;57626;22298;21955;0;3582;6958;90;121;0;1469;131;250;475;162;135
06 4 12;Frankfurt am Main, Stadt;417646;230083;2788;227295;86223;93626;0;10930;25367;368;609;0;4611;365;972;3210;503;511
06 4 13;Offenbach am Main, Stadt;78004;42607;702;41905;17460;16888;0;1891;3642;84;95;0;972;69;178;483;56;87
06 4 14;Wiesbaden, Landeshauptstadt;194468;107379;1371;106008;42239;43834;0;6347;9331;238;320;0;1488;192;376;1086;338;219
06 4 31;Bergstrasse;181506;107385;2037;105348;41944;47479;0;4537;7496;145;486;0;1374;148;402;901;231;205
06 4 32;Darmstadt-Dieburg;180636;108794;2254;106540;45116;42812;0;4930;9452;176;261;0;1736;158;500;882;259;258
06 4 33;Groß-Gerau;159848;97143;1981;95162;42987;35665;0;3539;9115;164;154;0;1480;128;421;1048;169;292
06 4 34;Hochtaunuskreis;150073;90998;1095;89903;28542;43039;0;6941;7545;140;296;0;1430;135;416;902;259;258
06 4 35;Main-Kinzig-Kreis;268246;154505;2588;151917;63379;64325;0;6357;11013;291;600;0;2466;204;754;1789;316;423
06 4 36;Main-Taunus-Kreis;146483;87950;1081;86869;27189;42723;0;5703;7709;150;368;0;1193;155;456;790;215;218
06 4 37;Odenwaldkreis;63852;38848;1123;37725;17763;14531;0;1581;2445;67;61;0;520;63;142;394;75;83
06 4 38;Offenbach;216094;126216;1972;124244;44415;57666;0;5912;11202;175;375;0;2035;174;550;1213;240;287
06 4 39;Rheingau-Taunus-Kreis;121830;70836;1171;69665;25025;32609;0;3923;5445;115;235;0;865;103;285;701;187;172
06 4 40;Wetteraukreis;190544;113162;1783;111379;49134;44507;0;5452;7508;172;279;0;1393;151;441;1868;212;262
06 5 31;Gießen;167416;101261;1746;99515;42895;38783;0;5219;8111;125;275;0;2019;129;460;1057;235;207
06 5 32;Lahn-Dill-Kreis;180833;91648;1085;90563;39736;36691;0;4537;5588;134;320;0;1508;137;361;1191;157;203
06 5 33;Limburg-Weilburg;117256;69745;1476;68269;27242;32595;0;2468;3777;82;304;0;697;76;254;522;110;142
06 5 34;Marburg-Biedenkopf;165383;92969;1203;91766;39217;35992;0;4210;7250;109;301;0;2856;125;348;971;207;180
06 5 35;Vogelsbergkreis;86428;47863;892;46971;21172;18278;0;3093;2872;65;93;0;494;59;158;494;92;101
06 6 11;Kassel, Stadt;144598;87974;920;87054;41363;30435;0;4211;7581;119;172;0;1522;121;329;564;473;164
06 6 31;Fulda;145176;91496;1956;89540;21839;56693;0;3510;4110;119;917;0;838;118;422;569;205;200
06 6 32;Hersfeld-Rotenburg;101201;64384;1194;63190;32907;22506;0;2315;3400;77;110;0;541;88;232;794;92;128
06 6 33;Kassel;174860;113170;1263;111907;63458;33992;0;4425;7085;115;155;0;1181;117;363;555;261;200
06 6 34;Schwalm-Eder-Kreis;140393;93012;1406;91606;49474;30114;0;4470;5023;82;143;0;929;91;340;638;147;155
06 6 35;Waldeck-Frankenberg;118443;68336;680;67656;29072;27253;0;5200;3852;79;178;0;644;84;222;687;262;123
06 6 36;Werra-Meißner-Kreis;92247;60463;903;59560;31495;20590;0;2727;3134;66;80;0;563;90;206;395;111;103
906;Hessen;4102069;2416709;37526;2379183;993584;985581;0;118010;186011;3547;7308;0;36824;3411;9838;24179;5574;5316

07 1 11;Koblenz, Stadt;87833;60546;1526;59020;21459;28224;0;3021;4549;71;250;0;621;96;165;270;177;117
07 1 31;Ahrweiler;87346;66208;2045;64163;15230;39953;0;2993;4021;103;379;0;636;71;204;247;207;119
07 1 32;Altenkirchen(Westerwald);95208;74213;2200;72013;26809;35127;0;3578;4360;94;347;0;736;61;248;356;123;174
07 1 33;Bad Kreuznach;113767;87340;3048;84292;36482;33849;0;5841;5372;143;225;0;973;91;288;688;199;141
07 1 34;Birkenfeld;70580;51723;1819;49904;23112;18955;0;3113;3162;102;61;0;569;76;197;339;105;113
07 1 35;Cochem-Zell;49184;40558;6181;34377;8240;21811;0;1387;1913;73;208;0;320;28;114;164;63;56
07 1 37;Mayen-Koblenz;147820;112707;3556;109151;40822;55159;0;4185;6197;154;396;0;997;90;337;417;240;157
07 1 38;Neuwied;123670;92753;2701;90052;35589;42039;0;3950;5789;157;338;0;920;111;339;363;266;191
07 1 40;Rhein-Hunsrück-Kreis;70607;56441;2004;54437;18177;26664;0;4249;3710;64;213;0;637;53;192;269;120;89
07 1 41;Rhein-Lahn-Kreis;92363;71376;2358;69018;31597;27592;0;3473;4069;86;157;0;772;90;298;527;221;136
07 1 43;Westerwaldkreis;131684;104418;3480;100938;36295;50901;0;4191;6354;126;462;0;1163;112;376;527;190;241
07 2 11;Trier, Stadt;74884;49131;1195;47936;17912;23734;0;1872;3261;65;198;0;401;54;111;155;105;68
07 2 31;Bernkastel-Wittlich;85494;65562;8158;57404;15578;33365;0;3243;3400;105;210;0;678;66;243;322;82;112
07 2 32;Bitburg-Prüm;71564;55771;3975;51796;13977;30573;0;2416;3174;153;247;0;462;73;223;198;194;106
07 2 33;Daun;46098;36549;1781;34768;8298;22026;0;1309;2014;68;174;0;330;38;151;153;143;64
07 2 35;Trier-Saarburg;98058;78493;5239;73254;24314;40075;0;2502;4432;112;242;0;658;74;281;305;111;148
07 3 11;Frankenthal (Pfalz), Stadt;33346;24113;626;23487;10044;10024;0;1078;1555;32;116;0;253;20;72;207;43;43
07 3 12;Kaiserslautern, Stadt;75835;50672;1355;49317;22395;18920;0;2591;3739;70;83;0;570;69;171;508;96;105
07 3 13;Landau in der Pfalz, Stadt;29092;21083;522;20561;7387;9177;0;1214;1875;23;69;0;291;22;86;276;85;56
07 3 14;Ludwigshafen am Rhein, Stadt;115493;80061;1567;78494;38930;29312;0;2654;5209;174;202;0;833;77;247;611;127;118
07 3 15;Mainz, Stadt;125675;88995;2221;86774;34416;35828;0;4997;8417;142;314;0;1265;71;281;544;352;147
07 3 16;Neustadt an der Weinstraße, Stadt;40449;30875;874;30001;10556;14373;0;1631;2190;57;185;0;379;59;131;258;125;57
07 3 17;Pirmasens, Stadt;40592;27571;929;26642;12522;11296;0;780;1246;25;53;0;250;22;76;285;38;49
07 3 18;Speyer, Stadt;32942;23389;564;22825;9414;9591;0;1041;1756;53;78;0;362;17;92;160;208;53
07 3 19;Worms, Stadt;57599;39182;961;38221;17981;15123;0;1507;2361;55;115;0;446;34;104;365;61;69
07 3 20;Zweibrücken, Stadt;27897;19477;506;18971;9288;6816;0;1015;1134;53;36;0;219;27;77;236;31;39
07 3 31;Alzey-Worms;76101;63094;2208;60886;28306;22704;0;4026;3904;98;107;0;554;57;205;747;100;78
07 3 32;Bad Dürkheim;94245;75664;2207;73457;30551;31007;0;4195;4971;101;273;0;840;87;333;658;262;179
07 3 33;Donnersbergkreis;52024;42510;1420;41090;19607;14542;0;2751;2651;71;63;0;453;42;162;606;72;70
07 3 34;Germersheim;75252;60354;1961;58393;20032;29011;0;3199;4112;71;198;0;502;41;236;570;286;135
07 3 35;Kaiserslautern;75766;61079;2115;58964;24680;25967;0;2623;3627;126;134;0;616;77;262;632;104;116
07 3 36;Kusel;60789;47878;1632;46246;24979;14507;0;1782;3130;72;73;0;561;29;207;762;58;86
07 3 37;Südliche Weinstraße;75427;62373;2490;59883;19095;30549;0;3781;4017;72;211;0;768;66;237;727;196;164
07 3 38;Ludwigshafen;100125;80539;2094;78445;31026;36250;0;3643;5034;102;269;0;832;73;312;556;190;158
07 3 39;Mainz-Bingen;123360;98083;3377;94706;36833;41537;0;6270;7083;144;213;0;1117;73;349;647;284;156
07 3 40;Pirmasens;79502;64938;3007;61931;20693;33265;0;2719;3240;111;201;0;505;66;239;678;107;107
907;Rheinland-Pfalz;2837671;2165719;83902;2081817;802626;969846;0;104820;137028;3328;7100;0;22489;2213;7646;15333;5371;4017

08 1 11;Stuttgart, Landeshauptstadt;381270;194663;1944;192719;58486;82363;0;18817;23523;302;690;0;3580;322;968;2484;540;644
08 1 15;Böblingen;211519;107134;1201;105933;28047;52080;0;8901;12066;150;337;0;1480;183;653;1314;371;351
08 1 16;Esslingen;316518;162924;1651;161273;44536;79369;0;13200;16379;233;472;0;2871;307;913;1894;564;535
08 1 17;Göppingen;165385;77863;914;76949;23066;37749;0;5716;6827;122;316;0;1146;104;451;969;240;243
08 1 18;Ludwigsburg;301978;151612;1700;149912;43741;69395;0;12833;16352;205;403;0;2358;272;877;2447;487;542
08 1 19;Rems-Murr-Kreis;254599;118953;1164;117789;33099;55258;0;10660;12823;201;367;0;1872;258;726;1635;416;474
08 1 21;Heilbronn, Stadt;78213;40001;528;39473;14103;16843;0;2916;3835;61;120;0;547;72;182;539;109;146
08 1 25;Heilbronn;179574;90493;1024;89469;27046;42999;0;6848;8760;124;336;0;1110;156;470;1137;216;267
08 1 26;Hohenlohekreis;63165;30451;424;30027;7223;15449;0;2785;3047;44;113;0;366;49;199;519;105;128
08 1 27;Schwäbisch Hall;114056;48230;485;47745;14106;21923;0;4462;4959;86;141;0;610;70;288;770;177;153
08 1 28;Main-Tauber-Kreis;94071;47617;687;46930;9971;28527;0;2846;3770;55;266;0;489;50;252;432;136;136
08 1 35;Heidenheim;92120;46335;477;45858;15728;21475;0;2575;4271;58;143;0;604;93;232;434;130;115
08 1 36;Ostalbkreis;202367;96835;1129;95706;25025;54311;0;5113;7691;128;563;0;944;165;486;799;221;260
08 2 11;Baden-Baden, Stadt;39312;20736;305;20431;4857;11255;0;1617;1787;29;64;0;340;48;70;157;162;45
08 2 12;Karlsruhe, Stadt;193481;98155;1298;96857;30062;43933;0;7425;11357;178;293;0;1315;168;286;1126;538;176
08 2 15;Karlsruhe;269008;137176;2905;134271;36746;73927;0;7069;11600;207;687;0;1423;199;484;1169;484;276
08 2 16;Rastatt;146761;67771;1236;66535;16073;39433;0;3393;5145;94;328;0;710;123;246;599;216;175
08 2 21;Heidelberg, Stadt;88305;46768;445;46323;13945;19903;0;3327;7103;52;176;0;906;89;218;375;141;88
08 2 22;Mannheim, Universitätsstadt;205082;106713;1371;105342;45300;41977;0;4653;8895;148;305;0;1690;171;352;1371;280;200
08 2 25;Neckar-Odenwald-Kreis;97527;49773;923;48850;13224;27966;0;2562;3401;68;268;0;429;63;226;390;126;127
08 2 26;Rhein-Neckar-Kreis;344416;190314;3339;186975;61200;89417;0;12041;17364;208;839;0;2053;300;764;1891;441;457
08 2 31;Pforzheim, Stadt;76363;37619;551;37068;11098;17888;0;2569;3611;44;102;0;428;71;140;471;535;111
08 2 35;Calw;91476;41177;411;40766;9674;21413;0;3486;4177;54;191;0;457;90;210;595;239;180
08 2 36;Enzkreis;118101;54142;694;53448;16123;25077;0;3769;6035;68;124;0;606;98;252;612;479;205
08 2 37;Freudenstadt;74186;32446;307;32139;7309;18255;0;2567;2606;51;242;0;346;61;113;313;187;89
