Land;District;Name;Eligible Voters;Voters;Invalid;Valid;CDU;GRÜNE;SPD;AFD;CSU;DIE LINKE;FDP;Die PARTEI;FREIE WÄHLER;Tierschutzpartei;ÖDP;FAMILIE;VOLT;PIRATEN;MERA25;HEIMAT;TIERSCHUTZ hier!;PARTEI FÜR DIE TIERE;BP;Graue Panther;Die Grauen;Verjüngungsforschung;BIG;Tierschutzallienz;Bündnis C;Die Humanisten;Volksabstimmung;DIE FRAUEN;LKR;BGE;ÖkoLinX;MENSCHLICHE WELT;LIEBE;DIE VIOLETTEN;DIE DIREKTE!;DIE RECHTE;DKP;MLPD;NL;III. Weg;SGP
BW;08235;Calw;112394;71274;1213;70061;24496;12379;8212;9387;0;1711;5086;1001;2187;980;585;461;308;344;157;132;178;197;120;140;104;116;90;156;655;67;131;124;98;65;36;57;52;61;39;58;23;28;13;21;6
BW;08236;Enzkreis;143293;94043;1604;92439;27583;18353;12789;11985;0;2035;7260;1543;2919;1983;690;513;508;483;185;185;327;334;146;151;167;148;84;190;760;96;119;143;179;103;34;79;55;55;63;99;13;21;28;19;12
BW;08237;Freudenstadt;86400;53081;1045;52036;18717;8900;5904;6600;0;1205;4775;647;1327;709;452;327;197;288;93;103;137;148;89;83;67;92;48;106;391;53;81;130;62;41;28;52;32;34;35;29;8;14;14;13;5
BW;08311;Freiburg im Breisgau, Stadtkreis;157789;106346;946;105400;17119;40624;14631;5586;0;6992;4570;3971;1334;1391;1515;252;1450;628;2279;86;195;184;66;104;91;85;55;128;225;267;90;200;159;229;316;104;42;100;75;43;39;66;77;16;16
BW;08315;Breisgau-Hochschwarzwald;193103;130008;2824;127184;39442;34990;17102;9638;0;3558;7701;2136;3210;1985;1192;676;659;602;608;131;338;306;151;204;129;144;66;249;378;131;210;187;192;172;109;117;79;102;74;71;24;36;53;20;12
BW;08316;Emmendingen;123701;81001;1839;79162;23443;20137;11928;6466;0;2209;4668;1453;2319;1291;1377;382;340;566;260;74;239;241;98;109;111;105;39;135;165;103;123;118;111;101;49;97;52;80;36;64;12;15;29;11;6
BW;08317;Ortenaukreis;317094;192979;4389;188590;64859;42851;24592;18858;0;4346;10226;2785;7411;2594;1293;1056;861;968;350;234;586;574;228;286;231;288;111;391;444;213;324;301;281;172;112;174;112;114;97;111;30;24;62;24;16
BW;08325;Rottweil;102914;63538;1374;62164;23180;10693;6914;7203;0;1260;4739;812;1948;773;1663;432;250;279;125;106;173;169;95;95;87;96;48;123;182;66;136;100;88;32;25;60;52;34;36;48;7;7;15;10;3
BW;08326;Schwarzwald-Baar-Kreis;149042;87251;1829;85422;31216;17958;9878;8413;0;1963;6123;1209;2770;1011;598;452;399;447;161;249;195;226;142;128;107;108;80;208;290;120;150;119;139;90;49;78;52;55;54;64;16;32;32;30;11
BW;08327;Tuttlingen;95213;57744;1459;56285;21370;10297;5827;6124;0;1247;4532;830;1703;782;425;341;250;303;107;138;166;163;83;85;72;93;120;321;219;58;110;86;80;44;22;48;56;49;32;44;8;12;19;13;6
BW;08335;Konstanz;205147;129936;2207;127729;37503;36213;15082;10243;0;4362;8550;2865;3729;1574;1060;568;1006;714;479;141;290;283;174;166;157;129;89;217;340;203;226;194;248;168;107;119;71;102;97;92;26;20;64;45;13
